LineNumber,SeriesCode,LineDescription,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2
1,A191RL,Gross domestic product,3.8,2.7,2.1,1.3,2.9,1.5,2.6,2.4,-5.0,-31.7
2,DPCERL,Personal consumption expenditures,2.0,3.2,2.7,1.6,1.8,3.7,2.7,1.6,-6.9,-34.1
3,DGDSRL,-Goods,2.1,4.2,2.8,2.6,2.5,7.7,4.2,0.6,0.1,-10.6
4,DDURRL,--Durable goods,4.0,7.1,3.2,2.5,1.0,12.7,6.3,3.1,-12.5,-1.3
5,DNDGRL,--Nondurable goods,1.1,2.8,2.7,2.6,3.3,5.3,3.1,-0.7,7.1,-14.9
6,DSERRL,-Services,2.0,2.7,2.6,1.1,1.5,1.9,2.0,2.0,-9.8,-43.1
7,A006RL,Gross private domestic investment,11.0,-1.1,10.2,3.9,3.9,-5.8,1.8,-3.7,-9.0,-46.2
8,A007RL,-Fixed investment,8.5,4.4,0.8,2.6,2.9,-0.4,2.4,1.0,-1.4,-28.9
9,A008RL,--Nonresidential,12.2,6.2,2.6,5.0,4.2,0.0,1.9,-0.3,-6.7,-26.0
10,A009RL,---Structures,21.6,5.0,-5.9,-12.6,8.2,1.6,3.6,-5.3,-3.7,-33.4
11,Y033RL,---Equipment,10.1,2.4,6.1,9.6,2.0,-3.8,-1.7,-1.7,-15.2,-35.9
12,Y001RL,---Intellectual property products,8.8,12.3,4.4,12.1,4.5,4.1,5.3,4.6,2.4,-7.7
13,A011RL,--Residential,-3.3,-1.7,-5.4,-5.2,-1.7,-2.1,4.6,5.8,19.0,-37.9
16,A020RL,-Exports,2.7,1.9,-5.2,2.8,1.8,-4.5,0.8,3.4,-9.5,-63.2
17,A253RL,--Goods,1.3,8.5,-8.4,4.3,3.9,-9.1,3.1,2.5,-2.7,-66.3
18,A646RL,--Services,5.4,-9.6,1.3,0.1,-2.0,4.9,-3.2,5.1,-20.8,-56.9
19,A021RL,-Imports,0.3,-0.1,8.0,4.1,-2.1,1.7,0.5,-7.5,-15.0,-54.0
20,A255RL,--Goods,1.5,-0.1,9.1,3.2,-2.7,0.1,0.7,-9.4,-11.4,-49.5
21,A656RL,--Services,-4.6,-0.1,3.3,8.4,0.6,9.0,-0.7,0.9,-28.5,-69.7
22,A822RL,Government consumption expenditures and gross investment,1.5,2.9,2.5,-0.9,2.5,5.0,2.1,2.4,1.3,2.8
23,A823RL,-Federal,1.9,3.5,4.5,1.9,1.3,9.2,4.8,4.0,1.6,17.6
24,A824RL,--National defense,-0.5,5.7,5.4,6.4,5.6,4.4,5.6,6.6,-0.3,4.2
25,A825RL,--Nondefense,5.5,0.6,3.3,-4.4,-4.7,16.9,3.5,0.1,4.4,40.1
26,A829RL,-State and local,1.2,2.5,1.4,-2.5,3.2,2.6,0.6,1.5,1.1,-5.5
27,A191RP,"-Gross domestic product, current dollars",6.2,6.3,3.8,3.3,4.0,4.1,4.0,3.9,-3.4,-33.3
